SETOR_ATIV,Cont.Núm - SETOR_ATIV,,,,PERC,Cont.Núm - PERC,,,,,,,,
,,,,,0.1717836195999,1,,,,,,,,
,,,,,0.172271769449323,1,,,,,,,,
,,,,,0.172295283184289,1,,,,,,,,
,,,,,0.172773225083184,1,,,,,,,,
,,,,,0.172805467330722,1,,,,,,,,
,,,,,0.173900388201035,1,,,,,,,,
,,,,,0.174132814453274,1,,,,,,,,
,,,,,0.174196632858655,1,,,,,,,,
,,,,,0.174437729851601,1,,,,,,,,
,,,,,0.174846966755102,1,,,,,,,,
,,,,,0.174899814630278,1,,,,,,,,
,,,,,0.175674845733385,1,,,,,,,,
,,,,,0.175731175826636,1,,,,,,,,
,,,,,0.175830188006404,1,,,,,,,,
,,,,,0.17583816664309,1,,,,,,,,
,,,,,0.175983604074751,1,,,,,,,,
,,,,,0.176106420807205,1,,,,,,,,
,,,,,0.176186213054273,1,,,,,,,,
,,,,,0.176565108768002,1,,,,,,,,
,,,,,0.176698320902547,1,,,,,,,,
,,,,,0.17740998965323,1,,,,,,,,
,,,,,0.177543376454488,1,,,,,,,,
,,,,,0.177633405229993,1,,,,,,,,
,,,,,0.177729314954217,1,,,,,,,,
,,,,,0.178281679477418,1,,,,,,,,
,,,,,0.178726088628236,1,,,,,,,,
,,,,,0.17877094972067,1,,,,,,,,
,,,,,0.178974706437692,1,,,,,,,,
,,,,,0.179243306864407,1,,,,,,,,
,,,,,0.179372513268377,1,,,,,,,,
,,,,,0.179583325621859,1,,,,,,,,
,,,,,0.179699398670879,1,,,,,,,,
,,,,,0.17969965864438,1,,,,,,,,
,,,,,0.179783921904266,1,,,,,,,,
,,,,,0.180112654158941,1,,,,,,,,
,,,,,0.180195343934165,1,,,,,,,,
,,,,,0.180227471566054,1,,,,,,,,
,,,,,0.180370963128853,1,,,,,,,,
,,,,,0.180646719022371,1,,,,,,,,
,,,,,0.18068513131246,1,,,,,,,,
,,,,,0.180690391998566,1,,,,,,,,
,,,,,0.180707057431988,1,,,,,,,,
,,,,,0.180835400506129,1,,,,,,,,
,,,,,0.181059559877782,1,,,,,,,,
,,,,,0.181077500807079,1,,,,,,,,
,,,,,0.1813114952832,1,,,,,,,,
,,,,,0.1814096715622,1,,,,,,,,
,,,,,0.181481232343421,1,,,,,,,,
,,,,,0.181530099405787,1,,,,,,,,
,,,,,0.181697123658117,1,,,,,,,,
,,,,,0.181914304606075,1,,,,,,,,
,,,,,0.181919233608869,1,,,,,,,,
,,,,,0.181960105707649,1,,,,,,,,
,,,,,0.182108040090641,1,,,,,,,,
,,,,,0.182157390419097,1,,,,,,,,
,,,,,0.182623829069941,1,,,,,,,,
,,,,,0.182834864184124,1,,,,,,,,
,,,,,0.183134285586043,1,,,,,,,,
,,,,,0.184327981947284,1,,,,,,,,
,,,,,0.184398340378006,1,,,,,,,,
,,,,,0.184456886213187,1,,,,,,,,
,,,,,0.184631604816693,1,,,,,,,,
,,,,,0.185215761140636,1,,,,,,,,
,,,,,0.186043173327202,1,,,,,,,,
,,,,,0.186154109324845,1,,,,,,,,
,,,,,0.186450391986497,1,,,,,,,,
,,,,,0.18675136317086,1,,,,,,,,
,,,,,0.186856291636941,1,,,,,,,,
,,,,,0.187069363054063,1,,,,,,,,
,,,,,0.187245090195427,1,,,,,,,,
,,,,,0.187496371974227,1,,,,,,,,
,,,,,0.188185253984733,1,,,,,,,,
,,,,,0.188658936086242,1,,,,,,,,
,,,,,0.188806350636032,1,,,,,,,,
,,,,,0.189355447313571,1,,,,,,,,
,,,,,0.189529225260873,1,,,,,,,,
,,,,,0.189628554240534,1,,,,,,,,
,,,,,0.189943641503167,1,,,,,,,,
,,,,,0.190364699967561,1,,,,,,,,
,,,,,0.190436191634682,1,,,,,,,,
,,,,,0.190659538552037,1,,,,,,,,
,,,,,0.190953250868473,1,,,,,,,,
,,,,,0.190983145406558,1,,,,,,,,
,,,,,0.191193523449579,1,,,,,,,,
,,,,,0.191719171259906,1,,,,,,,,
,,,,,0.191809564750534,1,,,,,,,,
,,,,,0.192380943336649,1,,,,,,,,
,,,,,0.192489358855698,1,,,,,,,,
,,,,,0.19261815371484,1,,,,,,,,
,,,,,0.192783619304685,1,,,,,,,,
,,,,,0.192912924920122,1,,,,,,,,
,,,,,0.193624929766175,1,,,,,,,,
,,,,,0.19384877149094,1,,,,,,,,
,,,,,0.193888852693987,1,,,,,,,,
,,,,,0.194148634980885,1,,,,,,,,
,,,,,0.194866606079891,1,,,,,,,,
,,,,,0.195012108991593,1,,,,,,,,
,,,,,0.195248448372259,1,,,,,,,,
,,,,,0.195251917498045,1,,,,,,,,
,,,,,0.195307087398012,1,,,,,,,,
,,,,,0.195345668387837,1,,,,,,,,
,,,,,0.195356289555657,1,,,,,,,,
,,,,,0.195376923876272,1,,,,,,,,
,,,,,0.195490316627986,1,,,,,,,,
,,,,,0.19583870392939,1,,,,,,,,
,,,,,0.196304131258578,1,,,,,,,,
,,,,,0.196397069903238,1,,,,,,,,
,,,,,0.196467890471495,1,,,,,,,,
