ANO,SETOR_ATIV,Receitas,Distribuição,Pessoal,Governo,RCT,RCP
2014,Comunicação e Informática,9733337.62,6156941.17,3991593.74,1083096.45,604542.99,477708
2014,Comércio (Atacado e Varejo),163859809.4,44938118.79,14417520.35,11809346.47,13648233.8,5063018.17
2014,Construção Civil Mat. Constr. e Decoração,48407607.8,15800229.06,5025988.79,4452198.67,4764771.72,1473400.87
2014,Crédito Imobiliário,85087,46800,21852,9475,13368,2105
2014,Educação,7754636,6115466,2746655,762199,807409,1799203
2014,Embalagens,2989361,902306,347576,107589,364734,76120
2014,Energia Elétrica,239602325,101241071,16676680,56648937,18928674,6764001
2014,Extração Mineral,123333443,41500907,10175885,11232664,22421762,-2329404
2014,Farmacêutico e Higiene,20373326,6887106,2679955,1799932,1958085,449134
2014,Gráficas e Editoras,2722684,1533852,660649,357114,347269,168820
2014,Hospedagem e Turismo,1279367,886397,287902,203141,248207,141540
2014,Intermediação Financeira,15528509,17331521,1577939,3038733,828287,11876294
2014,Metalurgia e Siderurgia,141610544.8,40405760.73,16167808.61,8991096.3,13057347.39,488477.42
2014,Máquinas Equipamentos Veículos e Peças,62679517,22152458,9729199,5560154,5656426,1198001
2014,Papel e Celulose,37588191,14563245,3743931,608706,10196452,14156
2014,Petroquímicos e Borracha,55420005,6290154,1464785,1189250,3159706,528026
2014,Petróleo e Gás,574812270,172393081,32798563,104780041,36815372,-2115360
2014,Saneamento Serv. Água e Gás,6113582,2844142,1105959,770182,520668,447333
2014,Securitização de Recebíveis,16656,16641,8826,2830,0,4985
2014,Seguradoras e Corretoras,23210282,10826124,2355301,2786798,520034,5163991
2014,Sem Setor Principal,4137092,-329138.98,617859.42,278973,2019510.42,-3474718.82
2014,Serviços Médicos,6727511,3295000,1359596,829883,639812,457971
2014,Serviços Transporte e Logística,64064690.64,25722052.66,6949254.21,6979416.23,12252321.99,11965.22
2014,Telecomunicações,182526940,86131632.81,13151521,48375594,29890850.38,-4201997.57
2014,Têxtil e Vestuário,31626449.93,12564646.76,5385273.1,3618461.08,2425697.05,1056634.54
2015,Agricultura (Açúcar Álcool e Cana),33327207,15036291,3651368,1895342,8528050,880865
2015,Alimentos,256395029,83659576,27167592,11598388,37446211,7186317
2015,Bancos,568627260,136847591,65307600,-6273207,4588112,72637244
2015,Bebidas e Fumo,71276318,43047391,3772775,22765476,3629998,12879142
2015,Bolsas de Valores/Mercadorias e Futuros,2458847,3746713,452155,854189,236911,1242614
2015,Brinquedos e Lazer,960868,318399,68921,138917,124066,-13505
2015,Comunicação e Informática,8590763.23,5731526.89,3963396.47,839269.7,972325.57,-43464.85
2015,Comércio (Atacado e Varejo),176931659.06,48016144.24,16640945.06,13015853,17684555.04,674791.13
2015,Construção Civil Mat. Constr. e Decoração,41809568,11901858,4812971,3675978,6031666,-2837546
2015,Crédito Imobiliário,133825,83078,21848,33284,20303,7643
2015,Educação,9962165,8142830,3603217,1111028,1322509,2106076
2015,Embalagens,3573551,1152676,432057,121530,574583,24451
2015,Energia Elétrica,306977130,161474085,16915452,97325738,46847303,-3969587
2015,Extração Mineral,124348878,-27799,10259601,-9814249,57417499,-57890650
2015,Farmacêutico e Higiene,22359672,8963054,2881267,2019447,4017746,44594
2015,Gráficas e Editoras,3102001,1188180,829938,344770,484507,-471035
2015,Hospedagem e Turismo,1298389,908801,294051,239386,239904,55905
2015,Intermediação Financeira,20362642,20964772,1689222,4148618,2011706,13112393
2015,Metalurgia e Siderurgia,140429995.73,28070819.41,17817542.47,3375076.25,18607728.12,-1658345.43
2015,Máquinas Equipamentos Veículos e Peças,68455617,24564585,11249533,5345272,7742432,223256
2015,Papel e Celulose,46295670,24545040,4399091,-309768,22930442,-2474725
2015,Petroquímicos e Borracha,54979006,11086813,1501960,2245016,4661078,2699667
2015,Petróleo e Gás,561339318,177383028,31801897,112617784,68377560,-35480406
2015,Saneamento Serv. Água e Gás,5898081,2919226,1337610,680436,864610,36570
2015,Securitização de Recebíveis,17986,18675,9322,3169,0,6184
2015,Seguradoras e Corretoras,26079576,13507318,2641892,3580808,518943,6765675
2015,Sem Setor Principal,3416132,3194013,370811,524435.44,3534032.4,-1286935.84
2015,Serviços Médicos,7976496,3879013,1623752,958128,891121,398661
2015,Serviços Transporte e Logística,72796640.53,36401998.44,8182896.74,7835593.28,26454828.7,-6039924.27
2015,Telecomunicações,166393856,92847184.81,14195545,46839570.48,37119264.23,-1748169.9
2015,Têxtil e Vestuário,32790741.25,13569065.89,5813898.63,3686298.35,3277334.95,734463.95
2016,Agricultura (Açúcar Álcool e Cana),35247708,18560136,3630522,3514343,9160004,2280486
2016,Alimentos,263472919.45,62129561.88,29847521.59,7624631.35,24133875.39,210438.54
2016,Bancos,649588286,199255650,70747137,58555111,5043045,64518310
2016,Bebidas e Fumo,71583332,42808446,3682076,21383688,4659285,13083397
2016,Bolsas de Valores/Mercadorias e Futuros,2576426,3040303,514903,64020,442516,900000
2016,Brinquedos e Lazer,1960093,812169,196729,307893,348012,-40465
2016,Comunicação e Informática,8855560.64,5557780.88,3481475.17,1036793.07,883249.33,156263.31
2016,Comércio (Atacado e Varejo),308916050.06,67678064.5,17719917.59,27551708.49,20572877.7,1833560.72
2016,Construção Civil Mat. Constr. e Decoração,31588416.32,4671990.22,4184978.64,3087777.32,5136103.05,-7323310.79
2016,Crédito Imobiliário,126268,64717,21131,28929,22534,-7877
2016,Educação,10376060,8559326,3917292,671422,1486582,2484030
2016,Embalagens,1099289,478212,156575,146387,158981,16269
2016,Energia Elétrica,321597606.56,183455590.91,18125220.34,98481858.25,43720791.68,21538249.64
2016,Extração Mineral,114739847,33130154,8586911,14407917,-9429077,17429349
