CNPJ_CIA,SETOR_ATIV,ANO,Distribuição_do_Valor_Adicionado,Impostos_Taxas_e_Contribuições,Outros,Pessoal,Receitas,Remuneração_de_Capitais_de_Terceiros,Remuneração_de_Capitais_Próprios,Valor_Adicionado_Bruto,Valor_Adicionado_Líquido_Produzido,Valor_Adicionado_Total_a_Distribuir,VAB_Receitas,VALP_Receitas,DVA_Receitas,Pessoal_Receitas,Impostos_Receitas,Cap_Terceiros_Receitas,Cap_Proprio_Receitas,Outros_Receitas,Pessoal_DVA,Impostos_DVA,Cap_Terceiros_DVA,Cap_Proprio_DVA,Outros_DVA
11.669.021/0001-10,Petróleo e Gás,2010,100637,62855,0,1641,199111,546,35595,120114,90267,100637,0.603251452707284,0.453350141378427,0.505431643656051,0.00824163406341187,0.315678189552561,0.00274218903023941,0.178769631009839,0,0.0163061299522045,0.624571479674474,0.00542543994753421,0.353696950425788,0
08.773.135/0001-00,Energia Elétrica,2020,129238,40118,21098,7105,856408,5853,55064,128342,127614,129238,0.14986081400454,0.149010751884616,0.150907044305985,0.00829627934349049,0.0468444946801057,0.00683435932406049,0.064296456828988,0.0246354541293402,0.0549760906235008,0.310419536049769,0.0452885374270725,0.426066636747706,0.163249199151952
17.344.597/0001-94,Seguradoras e Corretoras,2019,9436276,2688404,30653,58438,7015459,0,6658781,6768995,6768995,9436276,0.964868442677806,0.964868442677806,1.34506893989403,0.00832988974776989,0.38321141923857,0,0.949158280306392,0.00436935060129352,0.00619290915187305,0.284900950332525,0,0.705657719210417,0.00324842130518438
02.291.077/0001-93,Energia Elétrica,2022,6642,461,0,78,9054,5861,242,7173,6431,6642,0.792246520874751,0.710293792798763,0.733598409542744,0.00861497680583168,0.050916721890877,0.647338193063839,0.0267285177821957,0,0.011743450767841,0.0694068051791629,0.882414935260464,0.0364348087925324,0
22.543.331/0001-00,Seguradoras e Corretoras,2015,611738,75654,0,1184,136055,46,534854,135173,135173,611738,0.993517327551358,0.993517327551358,4.49625519091544,0.00870236301495719,0.556054536768219,0.000338098563081107,3.93116019256918,0,0.00193546910605521,0.123670591004646,7.51955902690367E-05,0.87431874429903,0
07.859.510/0001-68,Comércio (Atacado e Varejo),2017,70534,18512,23166,643,73760,20877,7336,67592,70319,70534,0.916377440347072,0.953348698481562,0.956263557483731,0.00871746203904555,0.250976138828633,0.283039587852495,0.0994577006507592,0.314072668112798,0.00911617092466045,0.262454986247767,0.295984915076417,0.104006578387728,0.328437349363428
33.412.081/0001-96,Petróleo e Gás,2015,417892,715492,0,12077,1382600,172957,-482634,425085,405150,417892,0.3074533487632,0.293034861854477,0.302250831766238,0.00873499204397512,0.517497468537538,0.125095472298568,-0.349077101113843,0,0.0288998114345333,1.71214572186115,0.413879662687967,-1.15492519598365,0
02.225.714/0001-23,Energia Elétrica,2010,29633,2072,0,302,34559,48320,-21061,20822,18346,29633,0.602505859544547,0.530860267947568,0.857461153389855,0.00873867878121473,0.0599554385254203,1.39818860499436,-0.609421568911138,0,0.0101913407349914,0.0699220463672257,1.63061451759862,-0.71072790470084,0
10.265.949/0001-77,"Agricultura (Açúcar, Álcool e Cana)",2011,1145202,577356,0,79386,9009274,132974,355486,1074654,1063498,1145202,0.119283085407326,0.118044805830081,0.127113683078126,0.0088115868159854,0.0640846310146633,0.0147596798587766,0.0394577853887006,0,0.0693205216197667,0.504152105916685,0.116114013073676,0.310413359389872,0
13.584.310/0001-42,"Construção Civil, Mat. Constr. e Decoração",2018,23476,3309,0,798,88494,4411,14958,23648,23387,23476,0.267227156643388,0.264277804144914,0.265283522046692,0.00901756051257712,0.0373923655841074,0.0498451872443329,0.169028408705675,0,0.0339921622082126,0.140952462088942,0.187894019424093,0.637161356278753,0
